@relation features

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute Class {Not-obfuscated,Obfuscated}

@data
13,21.461538,279,0,0.136703,14.5,0.207885,0.103943,0,0,197,0.706093,0,0,0,0,0,0,0,0.02509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.014337,0.086022,Not-obfuscated
24,18.083333,434,0,0.087922,10.5,0.241935,0.191244,0,0,64.6,0.74424,1,0.002304,0,0,0,0,0,0.013825,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020737,0.131336,Not-obfuscated
25,18.56,464,0,0.083304,11.727273,0.278017,0.1875,0,0,69.6,0.75,1,0.002155,0,0,0,0.051724,0,0.012931,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019397,0.125,Not-obfuscated
2017,32.749628,66056,0,0.000572,6.80531,0.034925,0.229411,0.115281,0,88.37605,0.636838,1.4375,0.000242,0,0,0,0.000394,0.001786,0.018136,34,49,0,0,3,48,0,0,6,139,0,8,0,206,5,342,6,0,0,8,181,17,0,0,0,0.027446,0.107091,Not-obfuscated
46,26.608696,1224,0,0.031474,16.666667,0.122549,0.142974,0.239379,0,107.428571,0.614379,0,0.000817,0,0,0,0.000817,0,0.012255,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.037582,0.097222,Not-obfuscated
88,34,2992,0,0.013384,3.333333,0.016711,0.210896,0.390709,0,215,0.43115,1,0.000668,0,0,0,0.000334,0.001337,0.015374,0,0,0,0,0,3,0,0,1,3,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0.058489,0.137032,Not-obfuscated
103,39.543689,4073,0,0.009268,9.643312,0.371716,0.197152,0.036582,0,308.2,0.75669,0,0,0,0,0,0.019151,0,0.006629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.011048,0.10631,Not-obfuscated
4378,34.173367,149611,0,0.000233,15.932054,0.205312,0.333779,0.016382,0,81.817708,0.629994,0,0,0,0,0,0.001056,0.000936,0.014999,0,0,1,0,0,0,0,0,3,6,2,23,0,91,0,9,2,0,1,0,198,0,0,0,0,0.015554,0.075583,Not-obfuscated
4,46.75,187,0,0.202609,6,0.032086,0.085561,0.593583,0,0,0,0,0,0,0,0,0,0,0.02139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069519,0.096257,Not-obfuscated
29,51.793103,1502,0,0.027294,11,0.014647,0.149134,0.920107,0,80,0.053262,0,0,0,0,0,0,0,0.000666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.123835,0.165113,Not-obfuscated
158,35.037975,5536,0,0.007357,12.066667,0.163475,0.102962,0.203577,0,340.272727,0.67612,1.5,0.000361,0,0,0,0,0.000723,0.004697,0,0,0,0,0,2,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.024928,0.084718,Not-obfuscated
616,26.425325,16278,0,0.00251,9.412698,0.03643,0.183868,0.050375,0,98.808333,0.728406,1,0.000676,0,0,0,0,0.000737,0.013884,2,8,0,1,0,3,0,0,2,28,0,18,0,48,2,70,11,0,0,6,2,3,0,0,0,0.021133,0.092333,Not-obfuscated
30,26.533333,796,0,0.04907,26.285714,0.231156,0.158291,0.322864,0,108.5,0.545226,0,0,0,0,0,0,0,0.003769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059045,0.124372,Not-obfuscated
12,22.166667,266,0,0.140857,15.5,0.116541,0.150376,0.706767,0,0,0,0,0,0,0,0,0,0,0.003759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101504,0.154135,Not-obfuscated
15,22,330,0,0.113956,15.5,0.093939,0.154545,0.745455,0,0,0,0,0,0,0,0,0,0,0.00303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10303,0.157576,Not-obfuscated
24,19.666667,472,0,0.080803,9.75,0.082627,0.165254,0,0,52,0.771186,1,0.002119,0,0,0,0,0,0.019068,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.033898,0.154661,Not-obfuscated
42,26.714286,1122,0,0.035421,7.466667,0.099822,0.149733,0.074866,0,139.666667,0.746881,1,0.000891,0,0,0,0,0,0.017825,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027629,0.117647,Not-obfuscated
52,24.384615,1268,0,0.030412,33.222222,0.235804,0.190852,0.171136,0,74.272727,0.644322,0,0,0,0,0,0,0,0.009464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049685,0.116719,Not-obfuscated
25,25.24,631,0,0.061616,12,0.019017,0.141046,0.29794,0,165.5,0.524564,0,0,0,0,0,0,0,0.019017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.045959,0.120444,Not-obfuscated
31,27.129032,841,0,0.046513,13.833333,0.197384,0.153389,0.258026,0,82.666667,0.589774,0,0,0,0,0,0,0,0.011891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039239,0.109394,Not-obfuscated
70,29.442857,2061,0,0.018849,17.16129,0.258127,0.116934,0.017467,0,109,0.846191,0,0,0,0,0,0,0,0.030568,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,4,0,0,0,0,0.016012,0.082484,Not-obfuscated
1128,32.125,36237,0,0.001124,5.225352,0.020476,0.140878,0.287248,0,88.371795,0.57066,0,0,0,0,0,0,0.004774,0.041394,0,0,0,0,0,1,0,0,0,190,0,0,0,117,0,0,0,0,0,0,46,1,0,0,0,0.045837,0.132434,Not-obfuscated
27,30.555556,825,0,0.047619,13.545455,0.180606,0.115152,0.473939,0,122.666667,0.446061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059394,0.118788,Not-obfuscated
21,28.809524,605,0,0.063154,12.25,0.080992,0.145455,0.745455,0,33,0.054545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095868,0.150413,Not-obfuscated
36,24.361111,877,0,0.043498,12.5,0.028506,0.13455,0.553022,0,115.5,0.263398,2,0.00114,0,0,0,0,0,0.010262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.071836,0.140251,Not-obfuscated
3,53.333333,160,0,0.227351,30,0.375,0.0625,0,0,28,0.175,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0625,Not-obfuscated
